Kabupaten/Kota,,,,,,,,,,,,,,,,
Ciamis,7067.85,1814.69,120.75,575.42,671.93,8.53,283.03,441.62,434.03,661.88,669.49,262.37,64.27,426.9,121.18,511.77
Kuningan,6644.12,1544.81,58.69,427.53,550.2,47.06,452.18,281.33,777.31,845.08,713.55,107.76,5.87,293.49,69.37,469.87
Cirebon,6202.79,1572.6,76.78,307.82,553.72,78.42,279.34,401.85,819.21,576,526.97,278.71,13.59,183.25,72.62,461.9
Majalengka,6352.91,1551.63,59.44,254.8,1224.26,23.5,351.96,277.61,552.93,458.9,460.04,243.84,13.24,167.26,161.92,551.58
Sumedang,7714.44,1832.31,53.05,349.34,1262.13,32.99,172.09,349.38,751.63,719.89,571.99,264.58,54.5,404.36,134.18,762.04
Indramayu,9202.6,2130.31,323.23,542.67,1770.33,145.25,246.31,832.57,655.17,722.19,616.36,382.65,4.7,109.06,159.74,562.05
Subang,7691.83,1789.89,168.12,659.32,1311.96,66.29,668,488.65,717.99,337.31,447.79,463.86,26.17,116.9,69.31,360.27
Purwakarta,8211.29,2043.4,83.92,582.72,1334.37,43.55,182.02,347.95,563.41,756.8,491.49,533.55,55.83,331.09,113.45,747.76
Karawang,6808.62,1819.53,297.6,416.22,1098.25,49.35,210.07,384.7,367.7,665.56,557.9,342.67,22.68,96.94,151.5,327.94
Bekasi,8760.28,2179.11,279.13,587.91,433.49,59.75,234.5,643.75,1053.06,663.66,826.53,490.11,66.23,299.23,174.2,769.61
Bandung Barat,6946.32,1669.07,114.39,363.66,1334.24,2.1,442.2,267.43,786.34,313.08,479.56,282.06,33.7,305.18,110.34,442.98
Pangandaran,7696.84,1800.08,244.01,623.59,389.03,19.69,93.9,410.56,412.57,1121.32,544.06,368.94,42.39,835.46,208.57,582.66
Kota Bogor,9762.54,2137.58,153.47,1030.02,398.66,75.39,141.64,396.49,1526.39,399.69,962.11,353.09,107,933.33,200.23,947.44
Kota Sukabumi,10470.56,2621.9,209.28,728.15,820.83,38.59,1007.43,289.78,1046.39,463.1,705.24,542.13,27.25,480.79,232.41,1257.3
Kota Bandung,11987.01,2531.13,189.61,877.94,888.19,76.45,256.27,397.55,1814.08,292.62,1192.58,673.53,124.6,985.15,174.57,1512.72
Kota Cirebon,8046.63,1917.91,53.66,588.05,453.29,21.58,228.77,363.48,1676.23,489.12,892.19,506.11,53.98,239.16,46.12,517.01
Kota Bekasi,13211.34,3407.78,263.21,967.73,222.84,11.14,526.78,626.36,1735.3,939.6,1410.34,736.5,71.48,992.47,204.72,1095.08
Kota Depok,12580.95,3263.87,232.74,949.44,123.65,29.72,121.14,724.33,1887.62,583.93,1333.95,710.87,97.7,898.68,180.36,1442.96
Kota Cimahi,9952.16,2603.54,86.62,799.69,849.91,95.16,120.59,293.85,1683.16,357.85,920.05,404.3,49.88,414.2,124.58,1148.8
Kota Tasikmalaya,9073.81,2458.44,161.54,703.51,948.71,6.55,363.09,333.48,870.83,623.2,950.18,533.7,58.6,436.55,130.15,495.29
Kota Banjar,10165.45,1978.86,49.76,509.1,944.61,16.47,178.27,603.91,639.29,1384.73,877.63,484.42,30.53,1398.51,334.32,735.04
Cilacap,5842.99,1319.03,76.44,527.9,77.29,-,201.86,347.35,446.38,703,399.67,326.48,9.86,214.54,192.71,1000.48
Banyumas,8446.59,1577.31,64.65,641.6,185.36,37.78,809.27,454.14,1122.52,1039.79,480.13,489.72,19.27,328.73,211.74,984.58
Purbalingga,5584.07,1067.06,39.48,389.11,157.25,43.22,244.48,299.73,572.83,1092.2,342.52,333.9,4.95,232.15,252.63,512.56
Banjarnegara,6686.72,1163.11,33.25,222.65,383.33,94.71,729.8,295.74,851.18,1252,229.51,419.92,6.94,175.51,146.22,682.86
Kebumen,5994.68,1513.62,19.52,462.81,146.97,42.17,15,375.31,542.09,1229.63,320.98,179.92,8.86,172.55,234.4,730.86
Purworejo,6405.61,1278.75,49.88,359.2,177.42,43.11,628.65,311.41,809.47,1121.97,511.23,189.13,19.6,212.26,147.45,546.09
Wonosobo,7468.52,1092.78,51.06,215.95,657.71,22.63,1871.2,289.38,675.66,1131.23,222.31,213.27,19.19,130.99,145.94,729.22
Magelang,6759.74,1122.75,37.38,284.77,480.35,13.96,1685.1,265.43,769.29,944.85,259.52,222.6,18.37,184.26,102.5,368.6
Boyolali,6377.69,1194.65,2.33,378.83,332.14,35.67,815.39,164.44,963.43,1001.31,474.81,134.56,17.42,301.55,107.36,453.82
Klaten,6263.14,1150.43,40.76,446.76,111.47,25.7,305.64,193.36,1107.26,1009.94,658.4,345.59,12.61,168.68,105.77,580.75
Sukoharjo,7174.58,1328.28,20.26,387.5,94.75,13.81,687.46,307.46,1437.36,636.86,906.77,315.95,1.63,426.68,97.76,512.06
Wonogiri,6344.2,1100.49,7.48,349.43,310.17,14.74,487.64,182.97,782.64,1380.83,591.37,145.05,10.8,212.32,80.07,688.19
Karanganyar,6209.47,1223.46,14.88,292.82,135.97,65.22,462.43,153.19,1514.39,620.34,478.09,239.94,18.43,316,119.54,554.78
Sragen,7488.53,1429.51,23.1,401.43,397.63,3.64,390.74,298.94,1093.39,1143.01,875.62,376.63,40.38,238.88,182,593.62
Grobogan,6082.7,1252.97,0.62,299.51,925.03,24.64,193,267.63,402.48,1392.14,382.88,375.08,11.58,83.67,109.34,362.13
Blora,5755.71,951.4,0.15,326.74,839.02,1.99,240.78,284.74,231.75,1280.46,300.44,365.31,8.43,167.96,193.68,562.86
Rembang,7199.52,1463.31,11.5,386.89,844.8,94.41,916.45,289.34,49.28,1273.69,183.92,524.88,11.72,33.91,195.28,920.14
Pati,9817.16,2127.86,64.77,557.76,1279.38,94.89,578.25,562.52,374.64,1314.16,761.46,941.08,3.78,248.63,244.32,663.67
Kudus,6509.44,1340.49,42.94,335.12,788.86,78.97,804.11,288.43,340.1,995.09,365.05,227.95,2.89,241.13,130.09,528.2
Jepara,5899.89,1357.93,8.64,289.44,717.14,9.01,293.45,393.73,388.79,938.32,451.23,171.52,7.03,194.4,165.74,513.5
Demak,7813.25,1881.54,22.52,350.47,900.64,15.42,629.08,360.81,858.57,895.54,401.91,442.39,54.05,73.95,256.92,669.44
Semarang,11061.23,1460,40.98,434.9,841.46,10.74,3491.13,288.7,901.66,1347.61,455.33,229.57,30.99,598.4,145.33,784.45
Temanggung,6490.71,1045.5,17.91,140.71,676.72,19.14,1266.39,264.79,686.58,915.85,268.79,190.89,4.12,225.68,131.09,636.53
Kendal,7733.54,1326.35,35.2,474.56,542.2,15.73,1338.88,276.53,573.59,1090.28,465.98,252.92,13.31,277.29,115.46,935.25
Batang,6283.79,1265.34,77.59,278.6,752.04,21.84,587.69,223.8,471.07,855.17,471.8,378.35,1.62,186.94,148.13,563.82
Pekalongan,6999.29,1187.91,9.26,222.36,823.07,114.45,901.06,380.21,667.78,1072.47,436.78,342.87,9.65,238.19,96.75,496.49
Pemalang,6646.58,1353.52,30.31,254.03,712.64,54.65,341.49,393.12,395.95,1362.89,489.16,264.56,4.11,140.06,217.02,633.07
Tegal,5626.79,1434.9,30.13,310.31,539.29,36.21,107.55,231.68,428.61,974.61,318.84,279.59,12.68,68.72,102.43,751.25
Brebes,5719.25,1489.52,32.27,249.24,567.57,59.9,147.16,388.55,491.28,760.14,455.99,279.23,8.33,53.42,180.39,556.27
Kota Magelang,8906.68,1746.14,138.23,510.88,208.93,11.24,1138.11,243.39,1303.82,1017.87,613.02,427.05,48.19,455.41,199.72,844.66
Kota Surakarta,8393.16,1177.98,89.71,566.6,315.5,13.05,859.27,201.23,1999.82,562.43,846.75,419.81,42.3,487.92,101.78,709.01
Kota Salatiga,14479.62,2036.6,93.97,1055.21,629.57,22.41,3244.09,353.12,1840.36,1267.86,597.66,351.08,44.38,713.7,304.74,1924.86
Kota Semarang,8956.83,1525.47,121.97,467.39,480.88,7.47,1022.65,213.98,1494.14,600.22,678.76,565.06,16.73,524.52,121.17,1116.43
Kota Pekalongan,5345.05,774.72,56.07,156.49,430.64,0.28,967.88,227.49,465.94,1130.27,363.83,214.06,5.59,134.47,54.02,363.31
Kota Tegal,8629.57,2251.89,237.23,692.61,576.81,33.08,116.49,339.95,477.72,1385.91,714.72,697.05,20.34,200.32,97.07,788.39
Kulon Progo,6660.1,1128.24,32.21,421.99,71.42,23.74,571.84,226.22,883.78,1358,363.88,356.5,15.95,286.88,137.83,781.6
Bantul,10867.69,2021.12,26.97,733.18,118.52,111.94,1600.89,276.79,1096.65,1712.5,727.65,578.48,29.64,463.73,233.74,1135.9
Gunung Kidul,5862.58,1361.27,-,517.09,179.32,6.39,85.35,186.13,491.64,1747.71,465.47,202.36,7.81,71.78,63.38,476.88
Sleman,11333.93,2209.99,58.91,748.96,206.18,42.46,1293.47,227.13,1130.59,1353.05,889.05,599.35,10.02,668.67,233.92,1662.18
Kota Yogyakarta,8617.19,1532.25,123.13,905.05,87.15,29.33,418.43,325.12,1003.74,1114,975.88,450.9,39.22,386.03,188.79,1038.17
Pacitan,5500.1,1184.76,42.07,313.94,310.1,11.96,336.42,274.51,542.21,1331.97,556.04,106.27,8.49,145.14,46.37,289.85
Ponorogo,7004.94,837.52,28.71,443.01,325.24,10.54,559.12,335.46,435.13,1799.85,918.44,257.12,20.68,392.92,125.51,515.69
Trenggalek,4887.36,832.92,14.22,380.12,149.05,15.44,192.59,230.6,347.91,956.09,611.33,259.25,25.45,262.01,45.09,565.29
Tulungagung,7091.38,776.57,95.6,449.68,190.89,163.65,293.1,357.59,1048.2,944.77,1002.29,554.94,50.8,468.28,166.04,528.97
Blitar,6546.07,569.97,18.7,535.78,132.97,41.57,883.68,231.47,585.6,963.68,553.13,412.91,7.14,609.16,111.12,889.18
Kediri,6398.5,706.27,48.98,497.64,222.82,5.63,485.83,324.09,642.55,992.44,700.83,543.98,6.26,509.23,85.08,626.86
Malang,7604.38,685.4,6.08,246.49,409.79,31.47,2104.72,333.83,769.53,734.55,494.41,524.16,18.38,473.62,124.17,647.77
Lumajang,8678.06,635.08,190.73,632.68,357.06,105.77,867.26,740.28,572.69,1373.11,961.65,846.88,94.32,496.9,180.84,622.81
Jember,6534.52,379.05,47.96,351.46,349.7,225.95,1153.59,416.15,343.02,913.02,686.96,362.27,7.09,298.92,293.45,705.93
Banyuwangi,6588.77,680.58,75.87,733.47,141.08,82.01,223.11,616.78,494.42,845.37,623.04,696.62,16.19,352.88,142.25,865.1
Bondowoso,6012.98,270.5,22.61,226.24,216.16,77.15,1362.46,428.31,709.29,827.2,566.06,89.96,33.01,323.92,242.12,617.98
Situbondo,4415.99,355.06,75.95,226.02,412.47,7.69,511.37,307.86,420.21,786.35,425.62,240.55,8.47,127.51,199.67,311.17
Probolinggo,4593.19,364.12,68.33,295.78,201.38,48.8,819.34,427.22,179.27,846.65,372.15,215.68,4.61,233.63,100.7,415.52
Pasuruan,7145.8,447.1,15.14,281.63,521.66,30.43,2143.32,351.1,404.09,997.24,460.49,361.6,23.91,518.59,67.5,522
Sidoarjo,9869.22,1099.91,102.03,536.28,356.34,54.28,1003.25,486.32,710.87,1572.91,1042.85,963.07,22.08,773.78,210.66,934.59
Mojokerto,8650.64,1129.82,32.66,375.97,869.88,206.31,868.47,547.92,468.56,1473.37,887.64,628.19,40.48,510.79,99.02,511.55
Jombang,7059.96,839.42,23.11,368.59,293.61,41.39,1352.63,400.7,312.3,1212.16,622.52,331.54,9.99,355.91,53.18,842.93
Nganjuk,6506.08,927.79,23.43,381.21,269.09,17.63,415.17,331.62,291.3,1418.89,666.91,466.55,22.8,291.81,90.37,891.49
Madiun,6664.93,782.58,2.06,363.5,501.96,75.52,938.15,215.63,267.98,1380.71,833.29,309.31,13.61,179.87,132.89,667.87
Magetan,6215.13,1123.7,57.82,265.66,284.29,56.21,371.74,169.02,476.72,1662.44,824.53,306.64,30.1,119.14,68.02,399.11
Ngawi,6197.41,909.22,0.18,348.32,441.61,37.83,715.58,342.99,311.04,1080.47,846,405.12,27.77,175.3,120.63,435.37
Bojonegoro,5750.32,1063.47,-,316.41,1021.91,46.56,191.62,588.69,46.69,861.22,473.48,624.7,4.55,40.04,125.8,345.18
Tuban,8268.25,1606.68,12.36,537.67,1165.26,144,189.1,463.44,127.32,1396.74,458.13,685.56,21.2,155.9,162.42,1142.46
Lamongan,7971.02,1528.42,73.19,493.38,1069.39,51.11,205.04,601.8,182.35,1476.14,688.34,597.36,43.39,159.39,141.44,660.28
Gresik,9496.53,1466.49,36.95,655.33,576.56,132.25,813.02,569.56,601.4,1400.1,762.17,1258.96,34,410.47,177.45,601.82
Bangkalan,4507.44,637.14,8.65,140.82,558.95,136.19,214.48,537.85,239.01,619.51,574.81,404.28,10.96,245.65,36.36,142.78
Sampang,2694.8,274.07,-,31.25,463.17,15.35,54.05,424.03,149.92,689.28,289.05,119.32,0.46,30.7,47.25,106.89
Pamekasan,4527.99,433.49,44.83,158.46,600.92,21.86,457.77,405.04,193.46,833.02,450.82,123.52,64.06,323.58,70.78,346.38
Sumenep,10081.6,907.54,184.6,758.26,1349.84,39.25,391,599.87,608.02,2736,1305.91,188.38,17.63,203.13,253.45,538.72
Kota Kediri,8880.25,1447.69,37.86,528.15,75.62,169.71,753.42,370.43,1283.97,1126.59,848.79,640.85,55.2,698.5,121.17,722.3
Kota Blitar,9699.57,1134.8,8.75,876.87,62.96,91.53,1453.6,202.82,1597.71,862.07,734.55,579.88,52.89,957.61,216.15,867.39
Kota Malang,9186.93,1030.7,41.73,617.23,339.85,33.88,1654.26,282.88,903.54,1042.89,595.72,685.88,61.01,722.08,170.88,1004.41
Kota Probolinggo,5458.07,447.33,78.66,446.66,257.91,13.15,526.36,373.16,128.75,1168.37,517.3,274.1,8.22,508.01,82.86,627.22
Kota Pasuruan,8885.28,709.23,28.69,488.4,384.82,18.11,1878.34,359.13,424.97,1627.54,636.21,601.65,9.18,324.29,137.36,1257.36
Kota Mojokerto,7803.34,698.89,-,496.89,380.41,-,969.77,369.77,460.26,1454.43,897.8,544.79,25.58,440.05,94.1,970.61
Kota Madiun,11489.79,1749.57,82.2,889.77,365.07,115.04,804.39,322.23,901.53,2059.96,1302.48,786.62,137.71,552.15,287.36,1133.71
Kota Surabaya,11105.57,1556.57,92.06,930.7,476,98.48,769.92,466.28,682.92,1899.25,1544.18,819.77,98.63,730.86,133.11,806.84
Kota Batu,9167.29,807.3,10.23,346.13,528.87,19.59,2587.22,279.32,873.16,1046.29,512.45,510.96,62.06,841.37,155.1,587.24
Pandeglang,4305.88,1197.25,23.73,192.08,504.46,76.29,28.45,509.59,435.03,571.81,286.48,161.24,39.44,86.31,32.56,161.16
Lebak,6130.86,1478.74,137.77,185.3,451.54,81.59,39.4,737.72,584.87,1268.93,415.97,327.88,48.51,84.14,104.43,184.06
Tangerang,7277.8,1899.97,387.19,520.17,341.51,48.45,133.38,642.31,520.15,656.44,806.48,347.54,67.47,218.57,167.26,520.91
Serang,6828.1,1774.61,230.31,343.71,451.36,64.65,38.49,947.87,547.96,977.55,513.42,338.35,90.67,82.17,82.17,344.82
Kota Tangerang,15419.53,4054.8,530.07,1450.06,275.39,32.51,593.05,562.2,1525.75,1197.88,1863.46,705,118.11,947.75,258.87,1304.62
Kota Cilegon,8510.39,2041.85,166.91,525.44,681.5,41.29,287.36,640.64,346.65,988.04,656.4,440.68,245.25,402.97,132.47,912.94
Kota Serang,7698.9,1932.88,248.14,516.76,496.88,133.15,157.06,631.64,555.67,785.33,796.48,281.26,92.74,288.78,211.87,570.26
Kota Tangerang Selatan,11308.21,3021.12,501.56,1230.75,53.16,58.54,89.79,448,1464.3,859.78,1599.38,605.76,70.23,440.77,88.68,776.39
Jembrana,6723.07,1197.26,59.84,833.83,9.79,59.9,228.25,585.39,202.89,1574.74,821.15,232.88,79.55,113.66,98.04,625.89
Tabanan,7457.46,1250.79,278.7,1201.55,350.58,13.02,213.6,524.8,457.26,1332.05,671.43,240.43,54.61,320.17,124.69,423.77
Badung,8914.29,1521.35,606.97,1070.34,409.7,25.24,171,502.77,657.93,1367.79,1101.59,544.18,10.03,259.67,208.84,456.88
Gianyar,8778.08,1914.83,271.61,1082.23,673.38,4.83,57.58,932.43,929.71,1419.81,623.43,270.77,206.62,51.37,41.7,297.79
Klungkung,7672.62,1329.84,297.71,792.73,379.8,-,72.33,785.71,374.52,2039.01,832.79,250.56,30.38,50.02,73.59,363.64
Bangli,9351.28,1708.94,349.42,1183.99,684.92,-,127.03,843.81,401.16,2623.13,478.72,247.66,86.49,253.15,99.61,263.27
Karangasem,3420.63,537.85,75.39,305.98,230.02,-,75.69,422.91,137.04,839.32,453.3,79.41,169.23,1.92,28.13,64.43
Buleleng,6784.95,750.4,58.59,585.24,362.07,10.56,1694.6,367.97,158.46,1403.73,495.29,106.85,94.57,104.48,50.21,541.93
Kota Denpasar,9406.75,1703.09,374.85,1335.06,483.5,36.29,79.98,463.81,1001.14,644.33,1304.95,719.59,79,478.01,168.03,535.12
Lombok Barat,8412.24,925.42,94.04,568.67,1229.06,193.35,1288.65,634.08,151.29,1166.66,687.18,179.6,4.16,142.27,212.68,935.13
Lombok Tengah,7971.54,754.07,26.34,379.9,1494.27,129.94,1140.65,899.21,242.49,928.67,505.5,68.78,33.64,268.14,253.96,845.98
Lombok Timur,11053.4,1298.98,40.16,621.5,2406.25,154.05,1280.59,1103.13,226.41,1326.84,767.61,106.77,3.25,693.83,181.03,842.99
Sumbawa,9751.65,1289.74,105.12,1019.77,1581.84,68.29,803.07,1013.91,223.52,1308.68,480.08,141.74,12.21,278.88,190.54,1234.27
Dompu,6782.93,461.91,44.01,530.22,1375.82,40.39,1217,748.84,145.04,1033.86,534.1,13.98,0.11,136.25,140.17,361.23
Bima,7630,477.92,81.26,706.07,1593.63,64.03,812.16,1048.69,301.33,790.75,226.82,13.36,5.7,421.77,205,881.49
Sumbawa Barat,13487.77,1470.55,99.14,1239.62,1689.93,467.93,2164.23,1050.22,214.7,1542.86,823.2,252.37,0.33,540.81,247.76,1684.13
Lombok Utara,13338.92,1051.75,66.52,540.24,1724.26,123.32,5218.36,546.18,196.21,1300.06,676.16,145.3,9.27,579.28,168.68,993.34
Kota Mataram,12829.62,1772.46,112.93,1093.59,622.61,109.73,2021.81,820.07,148.8,1509.8,1282.53,372.07,66.52,743.18,235.17,1918.36
Kota Bima,10311.03,772.97,47.75,979.28,1165.67,163.58,2007.67,1093.86,49.79,1434.01,802.48,45.43,2.43,443.12,136.37,1166.62
Sumba Barat,4595,128.2,-,142.72,94.04,-,318.41,16.76,1118.83,1099.61,770.88,54.17,14.01,350.97,137.27,349.14
Sumba Timur,3993,321.65,9.68,406.5,209.29,-,63.84,161.28,309.39,1033.99,615.71,30.9,4.18,203.64,306.8,316.14
Kupang,2919,66.47,-,24.38,16.67,-,-,15.99,270.79,1536.16,537.52,200.86,31.74,151.63,23.29,43.5
Timor Tengah Selatan,5046.06,168.81,0.32,323.35,-,-,-,179.28,93.63,2220.95,770.61,52.93,47.11,825.59,167.78,195.71
Timor Tengah Utara,3052.7,109.24,7.18,56.7,-,-,-,12.82,249.54,1276.43,539.54,74.32,17.33,273.46,342.11,94.03
Belu,3055.93,108.21,5.57,325.06,148.9,-,-,75.27,313.08,912.21,640.82,16.05,23.77,167.86,211.68,107.44
Alor,4346.09,148.53,-,103.58,59.95,-,-,32.55,796.31,1934.44,503.79,111.11,36.06,327.1,166.75,125.91
Lembata,5853.51,52.34,0.96,78.19,349.97,-,-,116.47,199.04,2082.53,357.04,146.56,60.38,789.02,323.61,1297.38
Flores Timur,3688.43,5.84,-,50.65,386.11,-,35.71,47.55,225.42,1570.55,317.34,94.46,34.71,611.75,40.58,267.76
Sikka,2575.14,88.51,16.99,10.51,0.8,-,9.36,13.57,90.03,1504.76,272.09,4.86,15.12,319.49,63.04,166.02
Ende,4843.16,201.36,19.91,151.43,132.73,-,310.56,136.97,117.39,1868.49,995.01,141.58,5.98,529.78,39.7,192.25
Ngada,5195.23,151.33,31.02,300.69,335.5,14.52,25.12,91.97,707.68,1534.21,1150.63,52.21,161.6,308.97,126.95,202.84
Manggarai,3687.44,84.29,13.66,212.9,44.87,-,723.06,72.32,712.28,719.21,200.87,41.49,52.08,568.72,127.28,114.4
Rote Ndao,1890.55,87.03,1.47,160.34,-,-,-,83.47,23.28,1153.4,166.53,1.27,2.61,73.18,7.86,130.11
Manggarai Barat,4982.79,64.35,15.97,116.37,152.81,65.09,1738.59,181.76,344.28,1273.34,280.08,97.88,17.03,406.58,96.69,131.98
Sumba Tengah,4519.12,244.21,7.25,181.53,43.79,-,155.07,55.41,853.72,837.58,1268.55,16.38,43.45,364.35,190.76,257.08
Sumba Barat Daya,4147.88,32.28,2.62,10.04,143.2,-,284.6,33.76,926.23,735.88,692.21,19.85,292.52,499.23,116.5,358.96
Nagekeo,5039.24,25.59,21.68,59.1,167.91,-,495.02,191.87,203.79,2226.09,556.83,19.15,23.91,555.93,76.03,416.35
Manggarai Timur,2805.13,46.59,33.58,44.2,235.64,8.06,86.07,52.81,363.44,826.53,317.31,0.33,60.61,635.39,30.63,63.93
Sabu Raijua,3196.39,80.03,22.7,198.72,-,-,-,27.63,825.13,872.92,742.33,190.24,126.27,14.91,54.02,41.48
Malaka,2749.6,62.89,36.32,131.33,25.43,-,16.46,6.09,535.07,974.39,446.11,128.04,114.97,137.79,115.04,19.69
Kota Kupang,6135.88,533.9,39.19,1017.37,287.2,-,266.4,140.88,625.11,1298.83,697.51,52.28,29.07,657.65,110.65,379.85
Sambas,4745.13,743.15,41.33,379.58,-,7.71,-,149.2,126.64,870.1,419.71,1002.4,1.97,74.91,185.85,742.57
Bengkayang,6241.3,1451.02,247.93,734.63,1.35,40.54,-,337.28,485.06,1052.32,694.77,636,1.75,225.7,83.99,248.94
Landak,5298.36,1355.68,87.1,597.57,16.31,4.8,55.4,461,65.75,1212.02,408.57,552.7,20.65,4.31,84.24,372.25
Mempawah,3977.97,690.64,130.63,221.11,14.66,2.97,11.9,216.13,170.97,635.73,401.2,1066.96,19.23,66.54,27.71,301.59
Sanggau,3549.46,679.95,53.96,335.67,17.31,2.47,6.94,193.29,144.95,701.49,340.26,576.92,19.22,64.71,166.95,245.36
Ketapang,5064.68,961.78,311.24,271.59,25.41,95.45,131.93,329.48,153.99,996.55,336.4,729.08,66.91,101.81,97.58,455.5
Sintang,4963.96,922.54,220.48,514.54,6.15,-,2.15,443.5,155.97,1087.42,482.06,742.84,19.91,3.66,88.21,274.53
Kapuas Hulu,4832.73,890,53.13,269.99,-,13,-,308.08,225.75,1299.18,315.75,1186.86,9.75,-,186.78,74.45
Sekadau,5042.95,1188.3,149.92,645.4,-,6.67,-,396.42,44.03,1049.72,458.07,608.32,7.43,112.23,94.33,282.11
Melawi,4079.59,959.77,31.33,329,-,13.77,2.16,294,132.03,593.69,248.17,850.65,6.61,9.05,67.37,541.99
Kayong Utara,4017.88,785.97,49.71,358.78,-,-,-,161.04,120.17,738.75,87.02,697.94,-,11.21,86.54,920.74
Kubu Raya,3477.08,748.54,139.41,198.23,2.79,5.34,-,162.24,178.22,486.1,312.32,695.64,12.26,58.21,44.51,433.27
Kota Pontianak,7416.52,772.37,335.94,983.16,-,-,-,129.55,212.75,1168.45,866.69,1150.48,37.9,404.15,119.53,1235.56
Kota Singkawang,6826.99,1109.52,56.65,862.05,-,-,0.84,222.87,187.06,1208.94,862.32,1026.52,3.59,548.73,65.7,672.2
Kotawaringin Barat,9619.59,1381.03,791,1094.92,138.01,3.17,88.36,519.25,577.7,870.67,361.95,1482.87,100.26,439.85,223.9,1546.66
Kotawaringin Timur,7455.72,1023.13,594.11,1053.15,48.54,18.41,15.65,438.94,601.05,700.36,408.13,1227.32,3.04,5.76,173.82,1144.31
Kapuas,4550.98,364.73,218.37,419.2,68.08,9.93,63.06,300.32,335.29,879.98,336.59,1008.03,7.48,44.39,143.54,351.98
Barito Selatan,3950.68,229.27,274.88,111.71,146.7,57.72,454.59,179.31,156.64,721.75,293.81,685.59,24.44,12.75,55.11,546.39
Barito Utara,10779.66,650.08,724.71,387.44,425.04,273.22,3328.21,265.37,281.47,717.26,370.62,759.46,26.42,98.57,149.46,2322.33
Sukamara,6850.77,1265.36,585.53,881.15,30.77,22.88,103.32,312.84,437.44,638.58,323.86,937.33,15.43,102.48,174.44,1019.36
Lamandau,9996.01,1392.16,247.24,1306.17,2.41,-,259.38,485.76,621.9,1206.35,457.89,1986.52,32,379.96,202.58,1415.7
Seruyan,6153.63,764.57,824.89,417.48,301.36,32.4,126.78,316.59,308.92,718.14,265.72,1245.32,4.23,78.02,91.27,657.97
Katingan,5752.49,743,605.24,371.09,114.68,1.97,92.04,365.81,293.62,704.85,370.8,1333.2,86.93,14.89,264.59,389.79
Pulang Pisau,5172.67,757.14,223.82,266.41,49.75,-,21.01,316.64,255.81,1169.25,241.99,862.35,36.21,0.18,166.8,805.31
Gunung Mas,5498.31,427.77,563.72,390.21,44.32,-,68.72,432.54,212.68,1195.98,315.68,815.05,28.83,46.58,540.23,416.01
Barito Timur,6928.08,311.72,454.73,331.33,361.68,120.05,815.41,92.14,121.05,1080.52,287.47,501.38,49.39,9.08,31.95,2360.19
