Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cianjur,10642,391,500,411,202,144,241,294,656,379,491,263,251,232,298,405,216,26,21,417,1366,1046,38,396,99,1396,463
Bandung,8937,356,606,372,208,161,245,136,415,310,289,70,119,172,239,532,263,17,5,376,1031,937,72,310,139,1208,349
Garut,8405,353,535,412,228,103,243,133,351,383,239,195,157,133,189,506,116,17,7,355,1066,890,44,171,69,1178,333
Tasikmalaya,7713,429,524,256,135,78,198,190,301,343,259,271,93,135,126,531,133,19,1,232,1075,723,44,219,79,1104,213
Ciamis,11674,497,682,311,153,94,311,415,449,554,496,382,248,265,275,886,268,33,35,344,1364,925,63,535,202,1462,427
Kuningan,9979,424,523,216,233,155,145,192,631,381,299,166,236,264,262,642,374,25,16,97,1299,953,24,693,131,1186,411
Cirebon,9682,349,476,142,155,162,73,209,464,310,314,58,310,149,158,744,638,6,7,136,1266,1014,48,940,246,1179,128
Majalengka,10034,342,561,323,146,117,176,243,484,489,416,151,300,204,286,539,320,8,15,410,1235,1025,12,612,103,1252,266
Sumedang,10265,315,537,263,224,158,172,203,504,387,350,199,195,177,266,855,241,14,11,714,1251,883,23,364,91,1193,673
Indramayu,13249,382,661,321,88,327,59,481,642,312,458,81,243,255,287,1079,1323,32,31,204,1583,1182,43,1164,298,1602,111
Subang,10957,457,668,109,143,118,124,366,377,216,624,81,124,200,158,1001,716,30,27,543,1455,917,25,706,178,1493,101
Purwakarta,10273,391,491,173,211,146,120,316,581,300,445,161,179,231,175,660,417,2,18,382,1459,897,28,823,119,1336,215
Karawang,12681,663,752,106,179,136,82,309,471,266,685,46,219,295,169,984,965,20,20,619,1451,804,48,1315,181,1777,120
Bekasi,16110,778,678,163,413,215,203,334,552,398,303,91,247,341,267,1058,1033,29,9,786,2069,1362,105,2470,291,1802,114
Bandung Barat,9936,397,557,332,291,142,429,149,513,384,311,166,166,244,314,633,217,21,7,534,1117,942,86,324,84,1311,267
Pangandaran,14367,596,925,316,98,100,264,594,583,350,650,507,525,178,293,736,270,52,178,300,1848,1071,54,540,357,2468,515
Kota Bogor,14605,692,648,126,337,175,232,227,564,337,355,69,143,305,288,1085,801,23,6,275,1590,1239,143,2315,152,2124,357
Kota Sukabumi,11673,472,537,193,311,236,247,87,723,567,488,107,223,208,197,707,569,20,5,299,1317,1175,224,898,80,1278,506
Kota Bandung,13007,567,767,307,346,262,411,134,403,674,233,36,192,384,451,1091,619,29,16,233,1393,1273,378,845,194,1321,448
Kota Cirebon,11621,373,533,140,254,188,253,262,420,457,207,42,182,194,337,851,740,15,1,122,1231,1174,154,1683,409,1218,181
Kota Bekasi,20707,854,758,181,667,312,383,474,908,593,449,121,314,323,411,1495,1069,71,24,234,2541,2100,376,3254,395,2006,393
Kota Depok,19859,851,761,152,528,304,392,399,743,441,472,177,317,366,397,1457,1060,12,12,265,2282,1774,308,3388,268,2317,415
Kota Cimahi,13132,621,634,311,286,242,342,136,463,532,270,107,209,367,300,1047,548,50,10,239,1590,1502,285,1209,214,1266,354
Kota Tasikmalaya,9361,413,604,259,169,115,300,171,462,622,321,92,141,240,252,659,339,2,-,267,1077,791,93,581,232,851,309
Kota Banjar,11514,475,684,172,162,59,141,484,456,319,622,328,307,118,300,810,308,34,142,203,1525,958,46,501,464,1545,351
Cilacap,12159,239,631,115,90,86,237,750,328,249,193,323,534,108,302,681,169,66,265,114,1570,1301,30,732,286,2161,601
Banyumas,14857,260,791,154,219,211,481,733,220,231,138,428,451,179,259,893,209,209,415,69,1905,1660,71,1464,325,2243,639
Purbalingga,11437,234,534,182,282,162,361,586,202,211,146,473,351,139,318,529,68,61,217,96,1437,1397,35,921,304,1347,843
Banjarnegara,9474,370,307,361,232,202,356,306,116,263,100,516,143,41,172,449,48,61,53,31,1349,1284,27,469,176,1251,795
Kebumen,11765,371,548,158,189,107,292,441,300,270,185,398,422,148,213,701,122,57,236,23,1601,1376,14,610,155,1903,924
Purworejo,13354,473,346,309,164,197,187,616,271,332,133,473,509,112,233,892,285,103,250,18,2100,1916,7,1021,57,1794,555
Wonosobo,8599,273,121,513,124,254,283,206,147,246,106,347,156,56,140,229,30,77,20,19,1133,1217,7,522,310,1372,691
Magelang,10041,248,121,438,207,290,417,337,183,210,80,216,398,115,165,395,55,115,93,32,1619,1627,9,484,112,1621,452
Boyolali,11059,465,289,185,185,199,259,392,239,282,97,301,439,116,165,768,252,55,103,19,1470,1932,24,868,86,1522,345
Klaten,11511,492,358,238,228,295,313,413,269,445,107,218,428,176,106,669,240,63,190,42,1514,1799,65,848,231,1395,372
Sukoharjo,12183,527,431,179,285,208,245,482,246,416,81,141,294,250,166,885,635,65,85,6,1573,1797,107,1091,413,1453,123
Wonogiri,12967,601,279,149,187,197,518,536,182,285,152,308,558,187,176,819,118,45,117,27,1749,1963,26,601,441,2234,511
Karanganyar,12463,532,339,256,257,189,327,480,214,359,104,359,317,164,231,957,550,138,76,22,1635,1766,94,998,277,1593,230
Sragen,14650,684,536,226,271,258,246,570,539,411,134,525,493,242,152,767,547,109,218,15,1981,2037,34,1184,254,1958,256
Grobogan,12816,696,364,201,86,120,101,559,522,275,191,491,584,199,77,744,438,69,144,34,1767,1681,35,889,225,1897,424
Blora,10950,454,301,36,70,115,81,373,715,99,154,288,330,160,174,500,117,50,71,11,1744,1102,12,1285,209,1867,632
Rembang,12792,456,570,101,91,126,110,551,775,181,225,222,343,207,136,738,301,129,169,0,2116,1266,38,1588,348,1809,196
Pati,12330,477,501,234,45,140,191,441,366,274,239,237,390,302,207,485,325,138,149,93,1955,1482,42,1738,362,1260,258
Kudus,10849,325,379,241,71,258,187,306,337,344,140,118,380,160,247,502,350,85,40,26,1752,1526,54,1582,191,1113,136
Jepara,10426,317,459,130,56,85,79,379,240,168,165,281,323,89,68,531,391,94,114,61,1747,1701,11,1271,249,1169,247
Demak,11742,731,482,180,56,99,94,390,247,224,193,250,572,89,151,722,330,22,16,19,1665,1313,20,2004,289,1418,165
Semarang,13577,550,269,397,206,535,393,450,248,369,113,348,592,80,230,875,316,66,36,91,1871,2100,42,1192,131,1613,464
Temanggung,11245,323,181,637,128,422,460,407,171,259,101,437,394,71,251,322,54,70,49,109,1332,1444,12,1057,393,1745,415
Kendal,11811,522,264,309,147,283,239,433,268,260,195,352,491,89,128,915,258,80,48,20,1661,1679,49,1018,181,1569,353
Batang,11604,350,252,282,106,363,179,280,252,254,204,312,449,82,122,1066,266,153,46,74,1641,1676,13,1151,287,1442,299
Pekalongan,10566,294,346,259,91,108,79,324,466,254,253,304,336,156,96,878,423,105,14,86,1487,1318,22,1165,129,1260,313
Pemalang,11411,334,431,190,266,207,109,444,493,183,283,429,350,172,215,670,377,40,67,140,1587,1259,22,854,454,1447,388
Tegal,9979,343,378,158,147,168,64,228,312,132,232,104,271,144,128,555,458,38,30,76,1501,1041,33,1749,168,1389,131
Brebes,9696,288,425,194,99,160,160,317,260,124,286,188,378,196,183,643,474,22,58,136,1247,958,13,900,224,1567,198
Kota Magelang,12659,527,366,472,272,523,326,481,230,509,158,78,325,149,219,705,327,84,59,8,1653,1785,165,1335,320,1273,312
Kota Surakarta,13693,638,582,196,344,355,264,478,268,448,112,88,344,183,95,1222,819,38,41,33,1795,1895,204,1144,301,1506,298
Kota Salatiga,14133,713,366,319,354,685,442,403,309,529,178,172,300,204,279,854,412,46,63,7,1668,2169,228,1083,181,1329,838
Kota Semarang,16744,973,768,261,424,420,337,515,325,453,202,160,427,214,167,1290,814,73,60,18,2106,2233,291,1900,381,1445,486
Kota Pekalongan,10667,346,384,124,136,89,116,186,354,312,175,19,249,123,89,1086,774,84,4,8,1377,1280,118,1550,307,1117,259
Kota Tegal,9915,345,368,54,101,96,84,134,315,320,231,23,250,176,102,849,779,15,5,17,1277,1051,60,2034,223,932,72
Kulon Progo,10575,479,317,154,200,161,345,413,215,215,83,454,447,133,201,893,230,77,225,5,1424,1390,17,869,170,887,570
Bantul,12560,425,332,254,264,279,277,458,366,428,131,230,583,131,238,984,161,87,186,37,1914,1690,82,746,227,1466,582
Gunung Kidul,13457,631,373,188,152,204,444,623,136,288,227,444,655,130,147,772,109,51,354,10,1762,1702,22,554,627,2292,558
Sleman,13902,561,390,323,393,385,362,442,360,454,169,208,550,179,265,831,261,203,214,9,1808,1930,162,968,326,1635,513
Kota Yogyakarta,11934,540,415,266,344,407,350,375,358,506,164,62,458,190,269,731,283,55,46,27,1368,1425,169,1158,364,1166,437
Pacitan,12004,486,326,140,143,127,345,628,129,271,176,683,472,98,77,948,40,148,210,10,1743,1432,6,455,187,2339,384
Ponorogo,11697,472,271,193,125,154,322,494,379,278,121,362,586,199,162,678,110,149,133,7,1829,1287,40,344,79,2545,379
Trenggalek,11033,416,277,104,102,139,351,492,213,136,143,694,375,122,180,611,68,236,92,-,1805,1172,13,194,232,2307,557
Tulungagung,12318,546,376,63,82,225,113,498,272,136,122,478,548,138,121,1020,240,232,334,8,1986,1696,26,294,52,2499,212
Blitar,11570,390,240,77,142,223,150,541,304,103,63,391,571,145,160,685,63,200,465,19,1761,1316,12,185,15,2556,793
Kediri,12151,497,385,153,137,270,125,457,503,215,150,365,625,145,111,655,289,125,453,6,1657,1576,25,677,49,2098,404
Malang,12368,521,308,252,164,266,132,478,752,178,134,281,484,206,316,718,198,183,123,23,1883,1645,44,508,29,2175,367
Lumajang,12423,629,430,300,126,271,158,424,916,179,408,287,657,212,234,717,160,160,169,42,1713,1424,12,358,94,1695,646
Jember,11605,491,372,231,106,256,106,457,879,140,373,181,573,231,245,661,154,112,208,0,1597,1465,17,212,128,1905,504
Banyuwangi,15504,580,648,242,102,343,223,522,1057,252,250,343,598,201,299,815,81,186,288,66,1944,1641,23,840,46,2987,928
Bondowoso,10548,410,296,158,94,331,217,428,950,119,314,207,607,63,389,979,80,33,18,2,1104,1345,81,352,126,1349,497
Situbondo,8686,422,501,121,78,226,55,337,516,102,315,164,514,100,218,629,61,39,29,1,1091,1073,77,415,42,1187,371
Probolinggo,8747,276,272,232,41,85,135,206,848,130,232,245,452,114,171,465,37,41,30,10,1004,1302,27,268,28,1393,706
Pasuruan,9365,334,300,196,98,125,107,197,523,125,158,128,344,118,200,580,236,49,11,32,1395,1358,17,966,33,1307,426
Sidoarjo,14194,494,544,184,188,273,117,234,719,423,168,62,475,221,163,1040,836,66,21,11,2001,1855,162,1492,245,2093,109
Mojokerto,11243,456,373,146,83,165,82,317,811,187,87,180,385,111,108,641,498,101,133,7,1724,1530,47,646,95,2033,298
Jombang,10472,328,383,114,78,115,56,406,828,163,113,136,437,137,207,501,260,112,138,1,1523,1235,36,601,68,2118,378
Nganjuk,12153,540,407,159,103,243,127,467,770,318,121,310,586,162,207,529,211,135,186,10,1372,1324,17,722,115,2641,372
Madiun,12231,680,529,125,153,204,133,392,705,394,186,348,553,221,247,734,136,64,149,50,1402,1561,35,559,79,2343,250
Magetan,11818,476,307,254,114,355,197,362,579,412,58,317,442,207,270,558,188,108,156,21,1510,1515,27,942,214,1929,300
Ngawi,14882,705,463,191,201,288,197,543,717,411,144,531,590,274,288,873,398,107,179,36,1912,1888,38,1009,276,2410,211
Bojonegoro,11761,461,408,64,57,114,63,474,941,146,96,207,547,159,162,785,232,107,173,4,1699,1163,4,911,243,2397,144
Tuban,12014,388,453,71,50,75,85,440,813,161,127,194,533,154,210,637,165,152,285,2,1756,1262,27,1259,307,2087,322
Lamongan,11507,344,518,111,37,109,34,455,709,125,205,119,521,183,206,712,202,59,96,2,1750,1430,16,915,147,2368,134
Gresik,13313,477,488,100,86,226,94,400,873,255,222,85,393,222,189,920,595,45,23,4,1963,1729,93,1416,137,2153,124
Bangkalan,8863,390,344,83,16,66,41,253,416,105,210,86,234,121,29,554,207,58,123,10,1740,1354,32,906,55,1297,132
Sampang,8178,537,316,49,5,51,18,268,639,50,222,41,220,137,39,697,37,6,14,-,1520,1175,2,291,26,1510,305
Pamekasan,7001,402,203,74,3,90,24,250,325,109,312,21,323,128,54,631,26,7,15,-,928,1194,22,411,44,1069,336
Sumenep,12279,587,381,223,32,150,82,451,551,276,770,139,415,275,164,896,75,17,65,-,1685,1951,30,731,100,1403,827
Kota Kediri,12556,423,400,126,194,408,108,495,662,405,152,130,611,138,186,867,452,115,289,0,1402,1603,95,1209,41,1803,240
Kota Blitar,10727,392,343,102,150,386,74,384,311,235,83,185,400,145,178,805,160,218,293,5,1419,1501,69,303,37,2114,436
Kota Malang,13248,579,546,211,232,471,167,334,732,415,139,54,427,192,291,956,397,109,19,37,1872,1890,186,797,90,1818,285
Kota Probolinggo,7663,279,306,121,106,171,48,247,944,126,220,78,344,122,96,568,50,28,1,-,731,986,31,391,16,1167,487
Kota Pasuruan,11238,458,365,116,85,225,115,202,733,257,130,47,339,111,134,879,406,44,1,6,1567,1665,47,1520,34,1469,283
Kota Mojokerto,12933,407,482,158,166,324,108,339,877,477,143,39,452,170,186,871,490,97,28,-,1872,1846,144,1199,93,1846,120
Kota Madiun,13820,564,470,264,326,429,208,435,609,754,192,173,537,290,284,723,252,111,34,12,1659,1695,198,894,168,2226,312
Kota Surabaya,16478,476,544,186,355,382,242,358,1122,491,202,79,494,317,216,1320,1100,145,16,18,2025,2004,279,1608,211,1992,299
Kota Batu,12767,532,383,352,470,564,299,271,731,272,144,200,522,162,659,716,261,224,10,6,1394,1542,58,632,22,1875,463
Pandeglang,10237,188,448,48,19,109,43,312,938,81,419,223,229,119,141,679,905,37,71,483,1232,826,18,940,116,1359,255
Lebak,10484,255,600,63,43,39,30,350,653,94,636,403,181,150,138,1000,634,29,58,435,1295,857,4,751,197,1376,215
Tangerang,15031,662,686,54,257,197,148,338,693,193,493,71,280,279,216,930,710,31,54,597,2014,1234,62,2636,127,1887,181
Serang,13279,392,652,49,23,56,49,429,676,156,501,153,282,125,109,1002,897,47,65,545,1551,957,20,2338,260,1785,160
Kota Tangerang,18702,780,696,127,499,378,269,446,728,445,521,117,289,316,463,1384,1092,76,11,584,2221,1600,217,2886,277,2064,215
Kota Cilegon,15560,578,675,18,196,157,162,469,602,351,429,185,327,198,203,1000,750,35,68,84,1988,1285,100,3025,202,2182,292
Kota Serang,12717,413,502,40,75,136,72,301,681,206,422,58,248,118,153,957,837,22,14,427,1619,1004,75,2515,166,1465,193
Kota Tangerang Selatan,19428,864,751,113,525,309,352,396,492,466,454,132,297,371,285,1429,1039,27,22,415,2410,1809,331,3426,301,2216,195
Jembrana,13397,524,410,178,51,137,116,477,280,162,295,537,255,392,143,657,22,356,232,1,2399,1868,12,845,39,2205,804
Tabanan,13467,459,461,414,190,263,437,394,168,295,182,373,222,439,355,408,10,688,106,3,2664,2104,13,342,114,1942,421
Badung,16137,593,728,353,303,527,443,558,576,605,428,179,365,495,386,810,51,474,111,5,2537,1898,134,799,113,2476,192
Gianyar,14867,516,477,337,134,321,459,643,87,256,192,187,376,428,346,527,19,601,304,34,2842,2095,37,816,252,2493,89
Klungkung,15326,604,646,509,119,344,263,631,314,451,165,156,441,443,203,745,16,371,357,-,2635,2291,42,1472,451,1527,127
Bangli,15426,505,245,523,88,189,570,321,298,249,202,349,366,573,703,351,40,724,161,-,3102,2302,13,312,150,2826,266
Karangasem,10260,395,313,243,18,67,194,183,105,76,107,223,284,302,171,512,20,168,82,-,2102,1370,5,565,32,2361,363
Buleleng,12483,567,518,271,25,111,258,320,191,140,265,474,286,354,172,644,12,192,144,-,2147,1579,0,984,27,2385,419
Kota Denpasar,16174,632,749,291,326,587,528,488,611,409,468,144,379,540,439,991,123,277,50,0,2386,1843,71,1453,40,2226,122
Lombok Barat,11983,393,565,288,66,132,70,461,1219,144,398,333,449,309,170,381,53,64,186,9,1982,1343,38,427,103,1865,533
Lombok Tengah,13845,329,615,400,100,181,23,711,878,64,379,485,501,302,313,327,380,58,136,1,2385,1156,5,150,85,2502,1379
Lombok Timur,15452,417,628,583,109,157,290,586,1990,231,429,360,541,384,254,472,64,152,183,-,1964,1241,15,719,164,2980,541
Sumbawa,11981,478,429,390,84,300,52,432,1415,253,625,144,474,209,117,567,131,34,109,-,1840,1028,45,503,43,1675,607
Dompu,10938,539,610,422,33,66,7,751,1398,189,309,383,292,358,186,473,144,148,351,2,1204,628,3,390,12,1014,1026
Bima,8371,377,435,303,5,58,12,342,1365,212,334,192,201,171,136,269,106,44,161,-,936,402,30,345,10,805,1120
Sumbawa Barat,13281,435,582,418,33,130,35,605,1898,203,402,171,656,238,94,665,81,56,61,26,1906,912,49,775,79,1863,906
Lombok Utara,13504,466,664,284,48,92,46,490,1330,100,332,378,416,336,151,410,61,56,214,10,2194,1334,15,463,90,2669,854
Kota Mataram,13424,402,611,259,224,378,88,306,1316,343,386,111,408,353,165,559,109,60,60,25,1895,1304,108,1195,195,1920,643
Kota Bima,10105,393,407,364,45,149,51,386,1560,408,384,146,231,332,203,585,441,21,53,-,1054,603,89,364,21,739,1077
Sumba Barat,9957,544,536,23,121,643,152,183,494,156,23,1230,300,94,449,12,-,4,218,-,1393,1182,15,45,95,1245,800
Sumba Timur,13985,1122,1156,68,194,823,224,420,671,118,153,1714,867,87,410,61,-,56,408,-,1465,1066,4,199,33,1379,1287
Kupang,12152,411,887,44,318,364,96,271,379,66,107,1359,512,81,1097,62,-,23,873,-,1333,953,0,513,41,1095,1267
Timor Tengah Selatan,13822,670,835,76,435,469,202,71,621,202,47,2057,414,37,724,84,-,196,1133,-,1217,1066,11,198,88,1191,1778
Timor Tengah Utara,14566,945,1009,105,433,623,207,231,1147,259,379,2068,656,102,1100,65,-,50,950,-,1047,999,22,223,26,1044,874
Belu,12010,597,1142,72,253,823,190,427,895,150,235,1091,563,110,787,139,14,59,636,-,1170,1095,35,391,67,608,460
Alor,11379,911,649,26,70,126,145,261,390,97,84,1356,495,71,441,110,14,115,760,6,1112,899,1,169,18,791,2263
Lembata,9415,450,619,19,59,428,24,157,324,135,168,1137,482,13,473,87,2,0,363,-,1352,956,-,129,52,361,1625
Flores Timur,9634,391,592,87,134,320,16,261,441,121,179,1443,517,71,428,64,5,13,367,-,1294,955,0,145,31,375,1385
Sikka,9252,454,445,54,395,661,87,143,371,140,33,1298,348,50,446,65,2,16,144,15,1147,958,9,131,1,929,910
Ende,12824,659,636,132,501,565,246,465,912,268,158,1214,659,56,714,60,7,96,193,-,1582,1306,12,343,23,1478,538
Ngada,15919,926,599,256,500,458,249,320,468,443,230,2102,831,151,1135,5,-,105,109,3,1631,1485,12,555,126,1825,1393
Manggarai,13287,880,454,76,440,379,306,383,203,150,123,2919,344,101,1684,18,2,82,246,-,1496,1076,3,88,45,841,949
Rote Ndao,10804,555,1998,95,195,1006,264,315,198,89,74,460,639,-,123,3,-,6,619,4,931,710,-,252,0,811,1455
Manggarai Barat,10412,603,455,173,362,269,83,234,494,211,90,1925,343,64,865,27,-,47,648,16,1274,819,17,200,25,364,805
Sumba Tengah,11498,669,490,3,191,330,112,258,294,115,36,1230,624,37,1081,10,1,35,522,-,1170,1037,5,60,68,1632,1488
Sumba Barat Daya,8970,541,460,26,107,250,42,252,245,25,35,1433,431,49,550,13,-,1,143,-,1140,959,-,101,61,1229,875
Nagekeo,9668,528,340,10,140,103,33,99,278,91,25,1976,530,69,597,3,29,35,102,4,1027,948,3,100,103,1136,1360
Manggarai Timur,8865,512,273,67,94,153,183,302,63,31,61,2280,199,20,1028,17,-,142,311,-,1272,959,-,66,6,420,404
Sabu Raijua,15543,1104,2547,158,628,761,138,696,353,117,108,991,371,120,107,-,-,49,888,-,1760,1248,12,242,269,1662,1216
Malaka,11763,950,1198,102,551,515,102,338,708,116,91,1279,753,78,346,13,9,109,744,-,1221,1100,2,162,71,644,560
Kota Kupang,15684,1052,1772,164,398,1120,326,237,1156,471,229,873,377,208,584,495,35,46,522,5,1360,1228,38,237,5,1541,1208
Sambas,9006,265,420,232,270,637,36,304,124,181,713,285,148,310,130,58,11,48,42,29,1245,1073,59,650,120,865,751
Bengkayang,12608,617,893,180,260,611,312,365,217,248,692,961,349,297,267,219,17,76,164,35,1601,1436,29,156,20,1927,658
Landak,15573,644,1124,139,69,627,179,626,68,216,783,1477,820,270,322,7,5,166,83,190,1969,1835,64,136,33,1783,1937
Mempawah,10113,532,830,248,72,813,62,304,163,191,507,576,267,408,172,103,63,110,99,48,1313,1169,30,187,43,1252,550
Sanggau,13658,578,1036,184,75,590,85,661,175,271,1051,1101,762,194,387,105,67,111,58,79,1608,1498,65,366,95,1725,731
Ketapang,14987,502,1168,355,80,745,150,624,340,367,901,568,494,217,499,200,57,246,158,212,1733,1530,31,809,45,2571,384
Sintang,17409,711,899,225,104,561,189,1032,203,386,1156,910,729,233,438,51,73,297,78,249,2307,1997,58,643,332,2203,1343
Kapuas Hulu,14818,726,1006,309,72,514,63,881,74,314,1495,975,470,149,529,243,131,162,72,44,1687,1477,26,369,69,1790,1170
Sekadau,16232,584,856,255,113,908,33,833,192,365,1636,1046,1017,280,463,44,19,230,79,199,1883,1789,126,206,153,2205,720
Melawi,14655,505,670,182,47,390,151,830,129,294,1054,868,833,216,333,140,37,108,58,108,1719,1529,37,104,45,3594,676
Kayong Utara,12184,484,983,278,92,754,33,333,47,176,619,798,374,163,222,119,25,105,41,25,1561,1349,14,255,8,2642,685
Kubu Raya,10171,508,806,208,137,596,55,376,154,234,438,597,318,242,117,43,69,81,38,21,1437,1350,51,356,49,1546,348
Kota Pontianak,12986,812,882,293,160,977,331,409,461,656,492,279,280,559,184,210,224,74,40,13,1415,1401,196,351,95,1614,580
Kota Singkawang,11458,557,868,154,455,876,148,500,216,343,646,292,297,498,171,388,54,54,27,12,1174,1218,50,215,166,1351,727
Kotawaringin Barat,20001,783,1012,331,169,472,310,691,710,596,787,771,994,177,363,960,229,168,188,150,2509,2303,61,471,200,4310,288
Kotawaringin Timur,16969,604,983,442,166,321,218,602,634,353,809,616,1099,217,214,763,80,255,144,99,2389,1908,65,264,56,3108,562
Kapuas,10497,495,578,200,21,106,125,641,311,159,444,556,686,115,287,328,39,113,51,9,1791,1316,13,228,152,1024,708
Barito Selatan,11842,636,758,221,13,114,149,602,381,264,365,379,1016,62,376,548,114,78,32,12,2082,1466,32,365,218,1225,335
Barito Utara,12752,726,787,149,46,152,140,460,312,143,791,959,860,60,385,654,59,159,87,11,1961,1491,26,95,131,1654,454
Sukamara,17257,538,911,422,205,400,205,423,351,425,1013,893,927,122,492,725,107,155,125,169,2261,2137,27,637,148,3072,368
Lamandau,22772,795,1061,621,162,525,201,650,492,794,982,1242,852,127,625,977,125,219,270,92,2944,2789,79,739,139,4420,850
Seruyan,17060,606,870,416,26,203,97,760,999,355,1077,647,968,111,364,668,72,143,42,61,2819,2026,18,368,65,3045,236
Katingan,17221,659,732,355,45,205,123,865,351,253,1073,705,1218,68,538,781,253,204,95,25,2748,2216,35,253,222,2745,451
